battery_soc,calories,distance,timestamp,heart_rate,temperature,enhanced_speed,speed,cadence,power
70.0,0,0.0,2025-05-01 06:47:07,,,,,,
70.0,0,0.0,2025-05-01 06:47:08,95.0,13.0,,,,
,0,0.0,2025-05-01 06:47:09,95.0,13.0,,,,
,0,0.0,2025-05-01 06:47:10,95.0,13.0,,,,
,0,0.0,2025-05-01 06:47:11,95.0,13.0,,,,
,0,0.0,2025-05-01 06:47:12,95.0,13.0,,,,
,0,0.0,2025-05-01 06:47:13,96.0,13.0,,,,
,0,0.0,2025-05-01 06:47:14,96.0,13.0,,,,
,0,0.0,2025-05-01 06:47:15,97.0,13.0,,,,
,0,0.0,2025-05-01 06:47:16,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:17,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:18,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:19,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:20,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:21,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:22,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:23,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:24,98.0,13.0,,,,
,0,0.0,2025-05-01 06:47:25,98.0,13.0,,,,
,1,0.0,2025-05-01 06:47:26,98.0,13.0,,,,
,1,0.0,2025-05-01 06:47:27,97.0,13.0,,,,
,1,0.0,2025-05-01 06:47:28,97.0,13.0,,,,
,1,0.0,2025-05-01 06:47:29,97.0,13.0,,,,
,1,0.0,2025-05-01 06:47:30,98.0,13.0,,,,
,1,0.0,2025-05-01 06:47:31,99.0,13.0,,,,
,1,0.0,2025-05-01 06:47:32,99.0,13.0,,,,
,1,0.0,2025-05-01 06:47:33,99.0,13.0,,,,
,1,0.0,2025-05-01 06:47:34,99.0,13.0,,,,
,2,0.0,2025-05-01 06:47:35,99.0,13.0,,,,
,2,0.0,2025-05-01 06:47:36,99.0,13.0,,,,
,2,0.0,2025-05-01 06:47:37,99.0,13.0,,,,
,2,0.0,2025-05-01 06:47:38,98.0,13.0,,,,
,2,0.0,2025-05-01 06:47:39,97.0,13.0,,,,
,2,0.0,2025-05-01 06:47:40,96.0,13.0,,,,
,2,0.0,2025-05-01 06:47:41,95.0,13.0,,,,
,2,0.0,2025-05-01 06:47:42,95.0,13.0,,,,
,2,0.0,2025-05-01 06:47:43,95.0,13.0,,,,
,3,0.0,2025-05-01 06:47:44,95.0,13.0,,,,
,3,0.0,2025-05-01 06:47:45,95.0,13.0,,,,
,3,0.0,2025-05-01 06:47:46,95.0,13.0,,,,
,3,0.0,2025-05-01 06:47:47,95.0,13.0,,,,
,3,0.0,2025-05-01 06:47:48,95.0,13.0,,,,
,3,0.0,2025-05-01 06:47:49,95.0,13.0,,,,
,3,0.0,2025-05-01 06:47:50,96.0,13.0,,,,
,3,0.0,2025-05-01 06:47:51,96.0,13.0,,,,
,3,0.0,2025-05-01 06:47:52,96.0,13.0,,,,
,3,0.0,2025-05-01 06:47:53,96.0,13.0,,,,
,4,0.0,2025-05-01 06:47:54,95.0,13.0,,,,
,4,0.0,2025-05-01 06:47:55,95.0,13.0,,,,
,4,0.0,2025-05-01 06:47:56,95.0,13.0,,,,
,4,0.0,2025-05-01 06:47:57,95.0,13.0,,,,
,4,0.0,2025-05-01 06:47:58,95.0,13.0,,,,
,4,0.0,2025-05-01 06:47:59,95.0,13.0,,,,
,4,0.0,2025-05-01 06:48:00,95.0,13.0,,,,
,4,0.0,2025-05-01 06:48:01,95.0,13.0,,,,
,4,0.0,2025-05-01 06:48:02,94.0,13.0,,,,
,5,0.0,2025-05-01 06:48:03,94.0,13.0,,,,
,5,0.0,2025-05-01 06:48:04,94.0,13.0,,,,
,5,0.0,2025-05-01 06:48:05,94.0,13.0,,,,
,5,0.0,2025-05-01 06:48:06,93.0,14.0,,,,
,5,0.0,2025-05-01 06:48:07,93.0,14.0,,,,
,5,0.0,2025-05-01 06:48:08,93.0,14.0,,,,
,5,0.0,2025-05-01 06:48:09,93.0,14.0,,,,
,5,0.0,2025-05-01 06:48:10,93.0,14.0,,,,
,5,0.0,2025-05-01 06:48:11,93.0,14.0,,,,
,5,0.0,2025-05-01 06:48:12,93.0,14.0,,,,
,6,0.0,2025-05-01 06:48:13,93.0,14.0,,,,
,6,0.0,2025-05-01 06:48:14,92.0,14.0,,,,
,6,0.0,2025-05-01 06:48:15,91.0,14.0,,,,
,6,0.0,2025-05-01 06:48:16,91.0,14.0,,,,
,6,0.0,2025-05-01 06:48:17,92.0,14.0,,,,
,6,0.0,2025-05-01 06:48:18,92.0,14.0,,,,
,6,0.0,2025-05-01 06:48:19,92.0,14.0,,,,
,6,0.0,2025-05-01 06:48:20,92.0,14.0,,,,
,6,0.0,2025-05-01 06:48:21,92.0,14.0,,,,
,6,0.0,2025-05-01 06:48:22,92.0,14.0,,,,
,7,0.0,2025-05-01 06:48:23,92.0,14.0,,,,
,7,0.0,2025-05-01 06:48:24,92.0,14.0,,,,
,7,0.0,2025-05-01 06:48:25,92.0,14.0,8.553,8.553,,
,7,8.26,2025-05-01 06:48:26,92.0,14.0,8.407,8.407,,
,7,15.14,2025-05-01 06:48:27,92.0,14.0,8.399,8.399,86.0,136.0
,7,22.0,2025-05-01 06:48:28,91.0,14.0,8.386,8.386,86.0,117.0
,7,30.88,2025-05-01 06:48:29,90.0,14.0,8.319,8.319,85.0,100.0
,7,41.29,2025-05-01 06:48:30,90.0,14.0,8.388,8.388,85.0,100.0
,7,48.3,2025-05-01 06:48:31,90.0,14.0,8.453,8.453,85.0,100.0
,7,57.97,2025-05-01 06:48:32,91.0,14.0,8.527,8.527,86.0,100.0
,8,66.3,2025-05-01 06:48:33,91.0,14.0,8.59,8.59,86.0,100.0
,8,76.63,2025-05-01 06:48:34,91.0,14.0,8.648,8.648,87.0,100.0
,8,84.89,2025-05-01 06:48:35,90.0,14.0,8.991,8.991,88.0,100.0
,8,93.14,2025-05-01 06:48:36,90.0,14.0,9.129,9.129,90.0,101.0
,8,103.55,2025-05-01 06:48:37,88.0,14.0,9.184,9.184,92.0,100.0
,8,111.06,2025-05-01 06:48:38,88.0,14.0,9.236,9.236,93.0,100.0
,8,122.18,2025-05-01 06:48:39,89.0,14.0,9.225,9.225,94.0,100.0
,8,129.7,2025-05-01 06:48:40,89.0,14.0,9.23,9.23,94.0,100.0
,8,139.79,2025-05-01 06:48:41,89.0,14.0,9.181,9.181,94.0,100.0
,8,149.09,2025-05-01 06:48:42,90.0,14.0,9.129,9.129,94.0,100.0
,9,156.62,2025-05-01 06:48:43,91.0,14.0,9.065,9.065,95.0,100.0
,9,165.12,2025-05-01 06:48:44,92.0,14.0,9.015,9.015,94.0,100.0
,9,176.0,2025-05-01 06:48:45,92.0,14.0,8.951,8.951,94.0,100.0
,9,184.29,2025-05-01 06:48:46,93.0,14.0,8.941,8.941,93.0,100.0
,9,194.64,2025-05-01 06:48:47,93.0,14.0,8.907,8.907,93.0,100.0
,9,202.91,2025-05-01 06:48:48,94.0,14.0,8.874,8.874,93.0,100.0
,9,211.19,2025-05-01 06:48:49,94.0,14.0,8.837,8.837,92.0,100.0
,9,218.08,2025-05-01 06:48:50,95.0,14.0,8.813,8.813,92.0,100.0
,9,229.81,2025-05-01 06:48:51,95.0,14.0,8.839,8.839,93.0,100.0
